ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,나래이션,"""라일이 묘지를 둘러보는 모습이 처음과 완전히 다르다. """,0,
2,나래이션,"""어깨를 펴고, 환한 미소를 지으며, 각 묘비를 따뜻한 시선으로 바라본다. """,0,
3,라일,"""이제 이곳이 정말 좋아요. 무서운 곳이 아니라... 따뜻한 이야기가 가득한 곳이네요. """,,
4,리아,"""라일이 이렇게 밝아지니까 나도 좋아.""",,
5,라일,"""이제 혼자서도 잘 할 수 있을 것 같아요.""",,
6,라일,"""물론 리아가 있으면 더 좋겠지만요!""",,
7,나래이션,"""이후 어느날, 라일과 리아는 리아의 무덤 옆에 서로 나란히 앉아있다.""",0,
8,리아,"""고마워. 너가 있어서 모두들 기억될 수 있었어.""",,
9,라일,"""아니에요 리아가 있어서 저도 해낼 수 있었어요.""",,
10,리아,"""후후, 귀엽기는.""",,
11,라일,"""저는 할아버지가 묘지기를 하면서 단순히 청소만 하는건줄 알았어요.""",,
12,라일,"""그런데 이런 일들을 겪고 나니, 더 많은 일을 하시고 계셨던거군요..""",,
13,라일,"""저는 오래 살지 않아서 잘 모르지만, 모두의 이야기를 보고 여러 생각이 들었어요.""",,
14,라일,"""에드가,마틸다, 토비, 바이올렛…..""",,
15,라일,"""제가 기억하는 건 짧은 이야기지만, 사람들을 추억하는 건 계속 기억속에서 살아있을 수 있는 것 같아요.""",,
16,라일,"""저는 사람들이 이곳에서 잊혀지지 않도록 하고 싶어요. 할아버지처럼요…""",,
17,리아,"""그래도 괜찮겠어..?""",,
18,라일,"""그럼요, 리아도 꼭 있어야해요!""",,
19,리아,"""히히, 무서워서 침대에 숨어있던 꼬마가 이렇게 커버렸담!'",,
20,라일,"""놀리지 마요…그땐 귀신이 잡아가는 줄 알았다구요..""",,
21,리아,"""이리와봐, 라일.""",,
22,라일,"""네?""",,ENDING
