ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,나래이션,"""마틸다, XXXX-XXXX, 헌신적인 재봉사""",0,
2,리아,"""여긴 마틸다 씨의 묘비네. 그녀는 마을의 유명한 재봉사였어.""",27,
3,라일,"""재봉사요? 그럼 사람들이 기억하고 있겠네요.""",2,
4,리아,"""처음엔 그랬겠지. 하지만 시간이 지나서 사람들의 기억도 흐려졌을거야.""",23,
5,라일,"""마틸다 씨는 어땠나요?""",5,
6,리아,"""마틸다 씨는 항상 다른 사람들을 위해 옷을 만들고 있었어. 비가오나 눈이오나 항상..""",25,
7,라일,"""항상 옷을 만드느라 바쁘셨나보네요.. 마틸다 씨의 이야기를 되살려볼 수 있을까요?""",5,
8,리아,"""물론이지. 라일, 준비됐니?""",21,
9,라일,"""네, 준비됐어요.""",1,
10,나래이션,"""라일이 마틸다의 묘비에 다가가자, 시계와 묘비가 희미하게 빛나고 라일은 과거로 들어간다. """,0,"EFFECT_WATCH, SCENE_END"
