ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,내래이션,"""라일은 여전히 오두막에서 혼자 지내고 있다.""",0,"SCENE_START, PROLOGUE3"
2,리아,"""꼬마 묘지기 친구?""",21,
3,라일,"""으…..!?""",4,
4,리아,"""까꿍 ~!""",22,SURPRISE
5,라일,"""…유….유령…!'",9,
6,리아,"""하하! 맞아, 내 이름은 리아! 보다시피 완벽한 유령이지! 흐흐흐…""",22,
7,라일,"""히익….! 왜…왜 여기 있는 거예요?""",9,
8,리아,"""음, 왜 있냐고? 그야.. 꼬마 묘지기 친구를 보러왔지!""",21,
9,라일,"""저를요..?""",4,
10,리아,"""그럼~ 이렇게 시무룩해 있으면 저기 언덕 너머에서도 알겠다니깐~.""",22,
11,라일,"""근데 왜 저를 찾아왔어요..?""",2,
12,리아,"""할아버지가 너에게 이 묘지를 맡기셨잖아!""",21,
13,리아,"""여기 묘지는 한동안 방치돼서 점점 잊혀가고 있거든.""",23,
14,라일,"""그래도.. 저는 할아버지처럼 잘 못해요.. 할아버지가 없으면 전 혼자라구요..""",6,
15,리아,"""혼자라고? 하하, 아니야! 여기 묘지에는 수많은 사람들이 있어. 그리고 지금 나도 있잖아!""",24,
16,라일,"""그렇지만….""",5,
17,리아,"""할아버지도 이렇게 있는 걸 원하지 않으실꺼야!""",21,
18,리아,"""이 묘지에 묘비들 알지? 그 사람들의 추억을 다시 꺼내줘야해!""",25,
19,라일,"""추억을.. 다시 꺼낸다고요?""",2,
20,리아,"""그렇지! 여기 묘지에 잠들어 있는 사람들은 자신들의 이야기를 기억해주는 사람이 있어야해! """,25,
21,리아,"""기억해주는 사람이 모두 없어지면 다들 점점 사라지거든.. 우리가 다시 그들을 기억해주면 묘비가 따뜻한 빛을 되찾을거야.""",25,
22,라일,"""제가요..? 제가 할 수 있을까요..?""",9,
23,리아,"""그럼! 너가 꼭 필요하거든.이거 할아버지가 너한테 준거지?""",21,EFFECT_WATCH
24,리아,"""그럼 됐어! 그걸 챙겨서 나랑 같이 나가보자! """,24,
25,리아,"""그래, 문은 다시 열렸고.. 멈춰 있던 시간도 조금씩 바뀔거야.""",25,SCENE_END
