ID,Speaker,DialogueText,PortraitIndex,EventFlag
1,라일,"""와.. 정말 아름다워요.""",4,
2,라일,"""바이올렛 씨가 이렇게 행복해하는 모습을 보니까.. 마음이 따뜻해져요.""",3,
3,리아,"""그렇지? 사랑은 시간이 지나도 변하지 않는다는 걸 보여주는 것 같아.""",21,
4,리아,"""바이올렛 씨의 기다림이 헛되지 않았어.""",28,
5,라일,"""그런데… 이게 현실일가요? 아니면 그냥 우리가 만든 꿈일까요..?""",2,
6,리아,"""음.. 어쩌면 둘 다일지도 몰라.""",27,
7,리아,"""하지만 중요한 건 바이올렛 씨의 사랑이 여기서 완성되었다는 거야.""",28,
8,리아,"""그게 진짜든 꿈이든 말이지.",27,
9,나래이션,"""미니게임이 끝나고 라일은 바이올렛의 편지를 발견한다. """,0,
10,나래이션,"""""이 꽃들이 나의 모든 사랑을 표현해. 사랑은 여기에 영원히 피어날 거니까""",0,RESTORE
11,라일,"""사랑하는 마음은... 아름다운 거군요. """,10,
12,리아,"""라일, 정말 많이 컸구나. """,28,
13,라일,"""각자의 이야기를 들으면서... 많은 걸 배웠어요. 혼자라는 게 무섭지 않다는 것도, 사랑하는 마음은 사라지지 않는다는 것도.""",10,
